title,body,date,url,source,image,compound
The company cuts 19% of workforce; shares tank on earnings miss,"... company chose to make, and said the layoffs would be effective that day. ... Affirm Holdings Inc. website home screen on a laptop computer in an arranged...",2023-02-08,https://www.cnbc.com/2023/02/08/affirm-cuts-19percent-of-workforce-shares-tank-on-earnings-miss.html,CNBC,https://audiospace-1-u9912847.deta.app/getnewspic?id=VxH5472fFzcBw3MbO5MG1701422066.231594,-0.25229542774999997
The company seeks new sponsor banks as it shifts to interest-bearing ...,"Affirm Holdings Inc. is seeking new sponsor banks to diversify the sources of loan originations, as the buy-now, pay-later platform comes under pressure to...",2023-02-10,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/affirm-seeks-new-sponsor-banks-as-it-shifts-to-interest-bearing-loans-74245833,S&P Global,https://audiospace-1-u9912847.deta.app/getnewspic?id=U3ID7yu4ohatdY5q2MTf1701422066.3269298,0.12791895900000003
The company cuts 500 employees,"Buy now, pay later provider Affirm is cutting about 19% of its workforce, the San Francisco-based company told employees, analysts and investors Wednesday.",2023-02-09,https://www.paymentsdive.com/news/affirm-posts-loss-cuts-employees-expenses-bnpl-payments-loans/642377/,Payments Dive,https://audiospace-1-u9912847.deta.app/getnewspic?id=3ktnNyK8C3W6F7oJdfbX1701422066.4076676,-0.063166792
"The company partners with Stripe to expand offering of buy now, pay ...","May 31 (Reuters) - Affirm Holdings Inc is partnering with digital payments processor Stripe Inc to offer buy now, pay later services to Stripe users in the...",2022-05-31,https://www.reuters.com/markets/us/affirm-partners-with-stripe-expand-offering-buy-now-pay-later-services-2022-05-31/,Reuters,https://audiospace-1-u9912847.deta.app/getnewspic?id=lflenTjVJ3NEMVfRl0OJ1701422066.4954927,0.20590944875
"The company to Acquire PayBright, One of Canada's Leading Buy ...",Affirm is purpose-built from the ground up to provide consumers and merchants with honest financial products and services that improve their lives. We are...,2020-12-03,https://www.businesswire.com/news/home/20201203005862/en/Affirm-to-Acquire-PayBright-One-of-Canada%E2%80%99s-Leading-Buy-Now-Pay-Later-Providers-for-CAD-340-Million,Business Wire,https://audiospace-1-u9912847.deta.app/getnewspic?id=z9iuJAZO2aegZvukfPft1701422066.582822,0.3778577865
Morgan Stanley Makes $100-Million Move on Fintech Startup ...,"Startup lender Affirm Inc. is adding debt from. Morgan Stanley MS 1.75%increase; green up pointing triangle. as it seeks to increase its loans for tickets,...",2016-10-13,http://www.wsj.com/articles/morgan-stanley-makes-100-million-move-on-fintech-startup-affirm-inc-1476352982,The Wall Street Journal,https://audiospace-1-u9912847.deta.app/getnewspic?id=kZsO7QrYMB29TA3eI0Kr1701422066.779591,0.163219863
Why Apple's BNPL Just Became a Nightmare for The company and Block,Apple is making big strides toward being a finance company and it is crushing the shares of Affirm and Block. Apple (ticker: AAPL) announced Monday that it...,2022-06-10,https://www.barrons.com/articles/apple-pay-later-affirm-block-stock-51654811913,Barron's,https://audiospace-1-u9912847.deta.app/getnewspic?id=eqF3h3Hm0EhSw3BUYcGU1701422066.9212623,-0.48391185000000003
The company stock soars on new deal with Amazon Pay,"Merchants using Affirm have reported 60% higher average order values than other payment methods, per the company, which also sees 88% of Affirm purchases are...",2023-06-07,https://finance.yahoo.com/news/affirm-stock-soars-on-new-deal-with-amazon-pay-151528851.html,Yahoo Finance,https://audiospace-1-u9912847.deta.app/getnewspic?id=OpAmc4BmnCS90mVlaqQI1701422067.0145247,0.1144473365
The company scans landscape for acquisitions,"With plenty of cash on hand, Affirm CEO Max Levchin considers acquisitions as one of many routes for the buy now-pay later company to continue its growth.",2022-08-26,https://www.paymentsdive.com/news/affirm-acquisitions-mergers-BNPL-payments-credit/630615/,Payments Dive,https://audiospace-1-u9912847.deta.app/getnewspic?id=JMbDx8CfRdYxQZywMIxt1701422067.094246,0.027957493
The company's revenue growth is being driven by Amazon and Shopify,"During the last quarter, Affirm's gross merchandise volume [GMV] reached $4.5 billion, a 115% year-over-year jump, which the company credited to its recent e-...",2022-02-11,https://www.modernretail.co/platforms/affirms-revenue-growth-is-being-driven-by-amazon-and-shopify/,Modern Retail,https://audiospace-1-u9912847.deta.app/getnewspic?id=GYJHwtigboI8i0tqnQRY1701422067.9702976,0.062471611999999996
