title,body,date,url,source,image,compound
"Square to buy Australia's The company in $29 billion deal as 'buy now, pay later' trend takes off","Square to buy Australia's Afterpay in $29 billion deal as 'buy now, pay later' trend takes off · Jack Dorsey's payment company announced a $29 billion, all-...",2021-08-01,https://www.cnbc.com/2021/08/02/square-to-buy-australia-fintech-afterpay-amid-buy-now-pay-later-trend.html,CNBC,https://audiospace-1-u9912847.deta.app/getnewspic?id=D0w0gnObIBWnkJnNYYSd1701422312.5613914,0.005041502749999996
The $29 billion deal in 11 weeks: how Square bought The company,"Square's purchase of Australian buy now, pay later provider Afterpay Ltd (APT.AX) for $29 billion in stock, the largest ever acquisition by Dorsey's firm, was...",2021-08-03,https://www.reuters.com/business/finance/29-billion-deal-11-weeks-how-square-bought-afterpay-2021-08-03/,Reuters,https://audiospace-1-u9912847.deta.app/getnewspic?id=94jHxwijPSj0vnBD4QxO1701422312.6330154,0.117922934
"Square to Acquire 'Buy Now, Pay Later' Firm The company","Payments App Square to Acquire Australian Company Afterpay. The deal, for $29 billion, would introduce Afterpay's “buy now, pay later” service to U.S. consumers...",2021-08-01,https://www.nytimes.com/2021/08/01/business/dealbook/square-afterpay-payments.html,The New York Times,https://audiospace-1-u9912847.deta.app/getnewspic?id=5Sd7NtQ0OaftmbiV0cIj1701422312.7014515,0.05122345699999999
"Australia's The company weighs U.S. listing as 'buy now, pay later' takes off","Australian buy-now-pay-later company Afterpay said on Tuesday it is exploring a U.S. listing after North America became its biggest market, offering global...",2021-04-19,https://www.cnbc.com/2021/04/20/australias-buy-now-pay-later-company-afterpay-weighs-us-listing.html,CNBC,https://audiospace-1-u9912847.deta.app/getnewspic?id=AMl5YgtiYGPZt1EbC5ya1701422312.7957292,-0.032585641
The company Reports Record Sales in Q3 2021,"Share this article ... SAN FRANCISCO, April 20, 2021 /PRNewswire/ -- Afterpay Limited (ASX: APT) today announced that its underlying sales are up 123% from a year...",2021-04-20,https://www.prnewswire.com/news-releases/afterpay-reports-record-sales-in-q3-2021-301272314.html,PR Newswire,https://audiospace-1-u9912847.deta.app/getnewspic?id=X26NoDrwm1nBCcg9ML2I1701422312.8757684,0.155057765
"Australia's The company considers U.S. listing as 'buy now, pay ...","Afterpay said in a statement it planned to remain headquartered in Australia, but did not specify if a U.S. market debut would be based on a dual-listing...",2021-04-20,https://www.reuters.com/business/australias-afterpay-mulls-us-listing-buy-now-pay-later-takes-off-2021-04-20/,Reuters,https://audiospace-1-u9912847.deta.app/getnewspic?id=tlOE56SfiXuDhEUUWchP1701422312.9221337,0.10025308
"The company and Stripe Partner to Offer 'Buy Now, Pay Later ...",The partnership allows both new and existing Stripe merchants to easily offer Afterpay - giving their shoppers the opportunity to receive their items...,2021-02-24,https://www.prnewswire.com/news-releases/afterpay-and-stripe-partner-to-offer-buy-now-pay-later-payments-for-merchants-301234345.html,PR Newswire,https://audiospace-1-u9912847.deta.app/getnewspic?id=Q1g4kzIDLZwrBIHFYNDD1701422312.9908903,0.22864931700000002
"The potential downsides of buy now, pay later programs like The company and The company","Check your favorite shopping websites, and chances are you'll see the option to finance products using Affirm, Afterpay, Klarna or one of the other BNPL...",2021-08-04,https://www.cnbc.com/2021/08/04/downsides-of-buy-now-pay-later-programs-like-affirm-and-afterpay.html,CNBC,https://audiospace-1-u9912847.deta.app/getnewspic?id=heCQ2zZCsjgcMkcqzhXO1701422313.0553648,0.07234829074999999
"Should You Buy Now, Pay Later? Tread Carefully. (Published ...","Afterpay, Apple and other financial tech companies are popularizing installment plans for paying off shopping splurges. These programs can also cause...",2022-06-23,https://www.nytimes.com/2022/06/22/technology/personaltech/buy-now-pay-later-afterpay-klarna-affirm.html,The New York Times,https://audiospace-1-u9912847.deta.app/getnewspic?id=Tddp9sSuITTUDrWjJ4GY1701422313.111006,0.07655170766666668
The company's meteoric rise as a lending pioneer,"Afterpay's meteoric rise as a lending pioneer ... Jan 20 (Reuters) - Block Inc (SQ.N), formerly Square Inc, is set to complete its acquisition of buy now, pay...",2022-01-19,https://www.reuters.com/business/finance/afterpays-meteoric-rise-lending-pioneer-2022-01-20/,Reuters,https://audiospace-1-u9912847.deta.app/getnewspic?id=Wnst972SRlJcbrZkDU4X1701422311.3355594,0.1431534285
